epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.50469,0.66903,2.12538,1.05657,0.0278,1,0.98809,0.83842,0.35673,1.97402,0.84065,0.00026,0.00026,0.00026
2,3.59752,0.65548,1.07306,1.04249,0.91406,0.95819,0.98395,0.85049,0.67326,0.80093,0.9696,0.000537327,0.000537327,0.000537327
3,4.64729,0.67394,0.98236,1.0579,0.72673,0.99099,0.87325,0.5857,0.56835,1.37351,0.90576,0.000811882,0.000811882,0.000811882
4,5.66186,0.62613,0.89691,1.00806,0.97359,0.99631,0.993,0.68468,1.19755,1.4084,1.12607,0.00108366,0.00108366,0.00108366
5,6.68088,0.60539,0.87323,1.00284,0.97647,1,0.99018,0.64994,1.26888,0.92171,1.23609,0.00135268,0.00135268,0.00135268
6,7.77797,0.6254,0.80343,0.98928,0.97179,1,0.98862,0.62173,0.98682,1.33652,0.99604,0.00161892,0.00161892,0.00161892
7,8.7597,0.6159,0.79864,0.99218,0.97293,1,0.98713,0.79005,0.80572,0.75303,0.99451,0.00188238,0.00188238,0.00188238
8,9.76782,0.60589,0.74422,0.96772,0.97302,1,0.98616,0.80619,0.73291,0.66041,0.95157,0.0019307,0.0019307,0.0019307
9,10.7599,0.54687,0.74041,0.94601,0.9708,1,0.98613,0.80146,0.76203,0.73759,0.94864,0.0019208,0.0019208,0.0019208
10,11.7516,0.53434,0.67982,0.96438,0.93127,0.97661,0.97903,0.83613,0.72705,1.16586,1.02076,0.0019109,0.0019109,0.0019109
11,12.7228,0.53524,0.7484,0.95295,0.94015,1,0.96972,0.87665,0.55486,0.71619,0.90701,0.001901,0.001901,0.001901
12,13.7077,0.51501,0.68793,0.93565,0.96634,0.96396,0.9869,0.8175,0.73661,0.83725,0.94536,0.0018911,0.0018911,0.0018911
13,14.6824,0.57025,0.72665,0.96723,0.96912,0.8482,0.96965,0.79979,0.62873,0.9613,0.91304,0.0018812,0.0018812,0.0018812
14,15.6541,0.50619,0.6762,0.93585,0.92339,0.97297,0.98223,0.6597,1.03086,0.8556,1.11123,0.0018713,0.0018713,0.0018713
15,16.6369,0.53165,0.69654,0.95632,0.97751,0.783,0.95656,0.64495,1.26234,0.88317,1.52841,0.0018614,0.0018614,0.0018614
16,17.6167,0.49524,0.63188,0.92725,0.95678,0.99713,0.99211,0.46033,1.59185,1.24591,1.58108,0.0018515,0.0018515,0.0018515
17,18.6018,0.504,0.6515,0.94819,0.97305,1,0.99105,0.80827,0.81305,0.64103,1.01093,0.0018416,0.0018416,0.0018416
18,19.6305,0.51643,0.62817,0.93078,0.97297,1,0.97605,0.69963,0.81444,0.85784,1.02897,0.0018317,0.0018317,0.0018317
19,20.6026,0.49406,0.61215,0.93613,0.97258,1,0.98343,0.73092,0.91104,0.73277,1.06105,0.0018218,0.0018218,0.0018218
20,21.6327,0.47262,0.61139,0.93042,0.97253,1,0.98273,0.86671,0.68633,0.65055,0.92525,0.0018119,0.0018119,0.0018119
21,22.5929,0.46783,0.61592,0.91521,0.97148,1,0.98488,0.82298,0.771,0.72867,0.9749,0.001802,0.001802,0.001802
22,23.5706,0.46252,0.57515,0.91829,0.95635,0.98694,0.98309,0.81371,0.63415,0.83953,0.91142,0.0017921,0.0017921,0.0017921
23,24.5577,0.43742,0.57516,0.92655,0.96427,1,0.99044,0.88939,0.40943,0.74179,0.86406,0.0017822,0.0017822,0.0017822
